IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
162.158.110.154,2023-09-16,19:18:19 UTC,["necessary"],desktop,en,Firefox,Ubuntu,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.181,2023-09-16,20:04:33 UTC,["necessary"],desktop,en,Edge,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.102,2023-09-16,20:15:23 UTC,["necessary"],desktop,en,Edge,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.65,2023-09-16,20:32:41 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.65,2023-09-16,20:33:05 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.246.104,2023-09-16,20:35:12 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.113,2023-09-16,20:39:53 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.111.221,2023-09-16,20:41:00 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.243.150,2023-09-16,20:55:08 UTC,["necessary"],mobile,en,Chrome,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.147.182,2023-09-17,00:00:49 UTC,["necessary"],desktop,en,Chrome,OS X,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.87.184,2023-09-18,10:22:56 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.111.118,2023-09-18,10:40:52 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.95.180,2023-09-18,11:29:32 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.250.55,2023-09-18,11:30:40 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.189.231,2023-09-18,14:27:07 UTC,["necessary"],desktop,en,Chrome,Windows,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.56.157,2023-09-18,14:27:13 UTC,["necessary"],desktop,en,Chrome,Windows,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
162.158.94.58,2023-09-18,14:42:45 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.130,2023-09-18,16:14:09 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.110.204,2023-09-18,16:16:01 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.39,2023-09-18,16:37:46 UTC,["necessary"],desktop,en,Edge,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.101,2023-09-18,16:40:26 UTC,["necessary"],desktop,en,Chrome,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.246.41,2023-09-18,18:43:30 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.110.204,2023-09-19,10:21:45 UTC,["necessary"],desktop,en,Chrome,Linux,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.210,2023-09-19,10:25:34 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.71.250.124,2023-09-19,10:30:15 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.174,2023-09-19,11:18:51 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.250.162,2023-09-19,12:25:48 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.59,2023-09-19,12:51:34 UTC,["necessary"],desktop,en,Chrome,Linux,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.159,2023-09-19,13:07:35 UTC,["necessary"],mobile,en,Safari,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.242.109,2023-09-19,13:21:38 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.111.211,2023-09-19,14:17:56 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.56.156,2023-09-19,17:44:06 UTC,["necessary"],mobile,en,Safari,iOS,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
162.158.110.183,2023-09-19,18:03:29 UTC,["necessary"],mobile,en,Chrome,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.176,2023-09-19,18:09:20 UTC,["necessary"],mobile,en,Chrome,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.56.138,2023-09-19,18:23:32 UTC,["necessary"],desktop,en,Edge,Windows,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
162.158.22.39,2023-09-19,18:27:40 UTC,["necessary"],desktop,en,Chrome,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.56.132,2023-09-19,18:29:22 UTC,["necessary"],desktop,en,Chrome,Windows,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
172.70.92.188,2023-09-19,19:52:42 UTC,["necessary"],desktop,en,Chrome,Windows,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.190.83,2023-09-19,22:19:51 UTC,["necessary"],desktop,en,Chrome,Windows,Singapore,03,North West,Singapore,858877,1.352,103.8198
108.162.226.120,2023-09-19,22:45:16 UTC,["necessary"],desktop,en,Chrome,Windows,Singapore,03,North West,Singapore,858877,1.352,103.8198
162.158.86.244,2023-09-20,10:21:02 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.131,2023-09-20,10:56:22 UTC,["necessary"],desktop,en,Chrome,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.94.60,2023-09-20,12:03:06 UTC,["necessary"],desktop,en,Chrome,Linux,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.22.227,2023-09-20,14:25:24 UTC,["necessary"],desktop,en,Chrome,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.101,2023-09-20,17:29:06 UTC,["necessary"],mobile,en,Chrome,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.94.71,2023-09-20,18:40:28 UTC,["necessary"],desktop,en,Chrome,Linux,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.41,2023-09-20,19:11:15 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.207,2023-09-20,19:17:40 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
172.70.246.211,2023-09-20,19:50:21 UTC,["necessary"],desktop,en,Firefox,Windows,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.87.208,2023-09-20,20:01:01 UTC,["necessary"],desktop,en,Safari,OS X,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.111.55,2023-09-20,20:09:37 UTC,["necessary"],mobile,en,Chrome,iOS,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
162.158.56.148,2023-09-20,21:59:45 UTC,["necessary"],desktop,en,Chrome,Windows,United Arab Emirates,DU,Dubai,Dubai,,25.2048,55.2707
162.158.22.180,2023-09-20,22:41:34 UTC,["necessary"],mobile,en,Chrome,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.226,2023-09-20,22:46:09 UTC,["necessary"],desktop,en,Edge,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.71.186.98,2023-09-21,05:54:43 UTC,["necessary"],desktop,en,Chrome,Windows,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
162.158.22.227,2023-09-21,09:07:44 UTC,["necessary"],mobile,en,Instagram,Android,France,PAC,Provence-Alpes-Côte d'Azur,Marseille,,43.2964,5.3697
172.70.250.102,2023-09-21,09:09:43 UTC,["necessary"],mobile,en,Instagram,Android,Germany,HE,Hesse,Frankfurt,,50.1109,8.6821
